From	To
Q9Y6Y8	SEC23IP
Q9Y6X4	FAM169A
Q9Y6W5	WASF2
Q9Y6R0	NUMBL
Q9Y6N8	CDH10
Q9Y6N1	COX11
Q9Y6K9	IKBKG
Q9Y6J9	TAF6L
Q9Y6I3	EPN1
Q9Y6H1	CHCHD2
Q9Y6G9	DYNC1LI1
Q9Y6G5	COMMD10
Q9Y6E2	BZW2
Q9Y6E0	STK24
Q9Y6D9	MAD1L1
Q9Y6D6	ARFGEF1
Q9Y6D5	ARFGEF2
Q9Y6B6	SAR1B
Q9Y6A5	TACC3
Q9Y6A4	CFAP20
Q9Y697	NFS1
Q9Y696	CLIC4
Q9Y680	FKBP7
Q9Y678	COPG1
Q9Y657	SPIN1
Q9Y618	NCOR2
Q9Y617	PSAT1
Q9Y613	FHOD1
Q9Y608	LRRFIP2
Q9Y606	PUS1
Q9Y605	MRFAP1
Q9Y5Z4	HEBP2
Q9Y5Y2	NUBP2
Q9Y5X3	SNX5
Q9Y5X1	SNX9
Q9Y5V3	MAGED1
Q9Y5U2	TSSC4
Q9Y5T5	USP16
Q9Y5S9	RBM8A
Q9Y5S2	CDC42BPB
Q9Y5Q9	GTF3C3
Q9Y5Q8	GTF3C5
Q9Y5P6	GMPPB
Q9Y5P4	CERT
Q9Y5L4	TIMM13
Q9Y5L0	TNPO3
Q9Y5K8	ATP6V1D
Q9Y5K6	CD2AP
Q9Y5K5	UCHL5
Q9Y5K3	PCYT1B
Q9Y5J9	TIMM8B
Q9Y5J7	TIMM9
Q9Y5J1	UTP18
Q9Y5F3	PCDHB1
Q9Y5B9	SUPT16H
Q9Y5B6	PAXBP1
Q9Y5B0	CTDP1
Q9Y5A9	YTHDF2
Q9Y5A7	NUB1
Q9Y597	KCTD3
Q9Y580	RBM7
Q9Y570	PPME1
Q9Y547	HSPB11
Q9Y543	HES2
Q9Y520	PRRC2C
Q9Y508	RNF114
Q9Y4Z0	LSM4
Q9Y4Y9	LSM5
Q9Y4X5	ARIH1
Q9Y4W6	AFG3L2
Q9Y4W2	LAS1L
Q9Y4R8	TELO2
Q9Y4P8	WIPI2
Q9Y4P1	ATG4B
Q9Y4L1	HYOU1
Q9Y4K3	TRAF6
Q9Y4G8	RAPGEF2
Q9Y4G6	TLN2
Q9Y4E8	USP15
Q9Y4E6	WDR7
Q9Y4E1	WASHC2C
Q9Y4C2	TCAF1
Q9Y4C1	KDM3A
Q9Y4B6	DCAF1
Q9Y4A5	TRRAP
Q9Y496	KIF3A
Q9Y490	TLN1
Q9Y485	DMXL1
Q9Y478	PRKAB1
Q9Y450	HBS1L
Q9Y3Z3	SAMHD1
Q9Y3Y2	CHTOP
Q9Y3U8	RPL36
Q9Y3T9	NOC2L
Q9Y3R5	DOP1B
Q9Y3Q8	TSC22D4
Q9Y3P9	RABGAP1
Q9Y3L3	SH3BP1
Q9Y3I1	FBXO7
Q9Y3I0	RTCB
Q9Y3F4	STRAP
Q9Y3E7	CHMP3
Q9Y3E2	BOLA1
Q9Y3E1	HDGFL3
Q9Y3D9	MRPS23
Q9Y3D8	AK6
Q9Y3D6	FIS1
Q9Y3D5	MRPS18C
Q9Y3D3	MRPS16
Q9Y3D0	CIAO2B
Q9Y3C8	UFC1
Q9Y3C6	PPIL1
Q9Y3C4	TPRKB
Q9Y3C1	NOP16
Q9Y3C0	WASHC3
Q9Y3B9	RRP15
Q9Y3B8	REXO2
Q9Y3B7	MRPL11
Q9Y3B6	EMC9
Q9Y3B4	SF3B6
Q9Y3B2	EXOSC1
Q9Y3A5	SBDS
Q9Y3A4	RRP7A
Q9Y3A3	MOB4
Q9Y383	LUC7L2
Q9Y376	CAB39
Q9Y371	SH3GLB1
Q9Y343	SNX24
Q9Y333	LSM2
Q9Y315	DERA
Q9Y314	NOSIP
Q9Y312	AAR2
Q9Y305	ACOT9
Q9Y303	AMDHD2
Q9Y2Z9	COQ6
Q9Y2Z4	YARS2
Q9Y2Z0	SUGT1
Q9Y2Y1	POLR3K
Q9Y2Y0	ARL2BP
Q9Y2X7	GIT1
Q9Y2X3	NOP58
Q9Y2W6	TDRKH
Q9Y2W2	WBP11
Q9Y2W1	THRAP3
Q9Y2V2	CARHSP1
Q9Y2T2	AP3M1
Q9Y2S7	POLDIP2
Q9Y2S6	TMA7
Q9Y2R9	MRPS7
Q9Y2R4	DDX52
Q9Y2Q9	MRPS28
Q9Y2Q5	LAMTOR2
Q9Y2Q3	GSTK1
Q9Y2L5	TRAPPC8
Q9Y2L1	DIS3
Q9Y2K3	MYH15
Q9Y2K2	SIK3
Q9Y2J8	PADI2
Q9Y2J2	EPB41L3
Q9Y2I8	WDR37
Q9Y2I1	NISCH
Q9Y2H2	INPP5F
Q9Y2H1	STK38L
Q9Y2G5	POFUT2
Q9Y2D5	AKAP2
Q9Y2D4	EXOC6B
Q9Y2D2	SLC35A3
Q9Y2B0	CNPY2
Q9Y2A7	NCKAP1
Q9Y296	TRAPPC4
Q9Y295	DRG1
Q9Y291	MRPS33
Q9Y286	SIGLEC7
Q9Y285	FARSA
Q9Y281	CFL2
Q9Y274	ST3GAL6
Q9Y272	RASD1
Q9Y266	NUDC
Q9Y265	RUVBL1
Q9Y263	PLAA
Q9Y262	EIF3L
Q9Y250	LZTS1
Q9Y248	GINS2
Q9Y247	FAM50B
Q9Y244	POMP
Q9Y237	PIN4
Q9Y230	RUVBL2
Q9Y224	RTRAF
Q9Y223	GNE
Q9Y221	NIP7
Q9Y217	MTMR6
Q9Y216	MTMR7
Q9UQR0	SCML2
Q9UQN3	CHMP2B
Q9UQE7	SMC3
Q9UQB3	CTNND2
Q9UQ88	CDK11A
Q9UQ80	PA2G4
Q9UQ35	SRRM2
Q9UQ16	DNM3
Q9UQ13	SHOC2
Q9UPY8	MAPRE3
Q9UPY3	DICER1
Q9UPW5	AGTPBP1
Q9UPV9	TRAK1
Q9UPU7	TBC1D2B
Q9UPU5	USP24
Q9UPT9	USP22
Q9UPT8	ZC3H4
Q9UPT5	EXOC7
Q9UPN9	TRIM33
Q9UPN7	PPP6R1
Q9UPN6	SCAF8
Q9UPN3	MACF1
Q9UPM6	LHX6
Q9UP83	COG5
Q9UNZ2	NSFL1C
Q9UNX4	WDR3
Q9UNX3	RPL26L1
Q9UNW9	NOVA2
Q9UNW1	MINPP1
Q9UNS2	COPS3
Q9UNS1	TIMELESS
Q9UNQ2	DIMT1
Q9UNP9	PPIE
Q9UNN8	PROCR
Q9UNN5	FAF1
Q9UNM6	PSMD13
Q9UNI6	DUSP12
Q9UNH7	SNX6
Q9UNF1	MAGED2
Q9UNF0	PACSIN2
Q9UNE7	STUB1
Q9UN86	G3BP2
Q9UN37	VPS4A
Q9UN36	NDRG2
Q9UMY4	SNX12
Q9UMY1	NOL7
Q9UMX5	NENF
Q9UMX0	UBQLN1
Q9UMS4	PRPF19
Q9UMS0	NFU1
Q9UMR5	PPT2
Q9UMR2	DDX19B
Q9UM73	ALK
Q9UM54	MYO6
Q9UM13	ANAPC10
Q9ULX6	AKAP8L
Q9ULX3	NOB1
Q9ULW0	TPX2
Q9ULV8	CBLC
Q9ULV4	CORO1C
Q9ULV3	CIZ1
Q9ULU4	ZMYND8
Q9ULT8	HECTD1
Q9ULT6	ZNRF3
Q9ULR0	ISY1
Q9ULK4	MED23
Q9ULJ6	ZMIZ1
Q9ULH0	KIDINS220
Q9ULE6	PALD1
Q9ULC4	MCTS1
Q9ULA0	DNPEP
Q9UL63	MKLN1
Q9UL46	PSME2
Q9UL45	BLOC1S6
Q9UL40	ZNF346
Q9UL25	RAB21
Q9UL15	BAG5
Q9UKY7	CDV3
Q9UKX7	NUP50
Q9UKV8	AGO2
Q9UKV3	ACIN1
Q9UKU0	ACSL6
Q9UKT6	FBXL21P
Q9UKN8	GTF3C4
Q9UKM9	RALY
Q9UKL0	RCOR1
Q9UKK9	NUDT5
Q9UKJ3	GPATCH8
Q9UKI8	TLK1
Q9UKG1	APPL1
Q9UKF6	CPSF3
Q9UKE5	TNIK
Q9UKD2	MRTO4
Q9UKD1	GMEB2
Q9UKB3	DNAJC12
Q9UKB1	FBXW11
Q9UKA4	AKAP11
Q9UK99	FBXO3
Q9UK76	JPT1
Q9UK59	DBR1
Q9UK45	LSM7
Q9UK41	VPS28
Q9UJZ1	STOML2
Q9UJY5	GGA1
Q9UJY4	GGA2
Q9UJX5	ANAPC4
Q9UJX4	ANAPC5
Q9UJX3	ANAPC7
Q9UJW3	DNMT3L
Q9UJW0	DCTN4
Q9UJV9	DDX41
Q9UJU6	DBNL
Q9UJP4	KLHL21
Q9UJK0	TSR3
Q9UJC5	SH3BGRL2
Q9UJC3	HOOK1
Q9UJA5	TRMT6
Q9UJ83	HACL1
Q9UJ70	NAGK
Q9UJ41	RABGEF1
Q9UIS9	MBD1
Q9UIL1	SCOC
Q9UIJ7	AK3
Q9UII2	ATP5IF1
Q9UIG8	SLCO3A1
Q9UIG0	BAZ1B
Q9UIF9	BAZ2A
Q9UID6	ZNF639
Q9UID3	VPS51
Q9UIC8	LCMT1
Q9UIA9	XPO7
Q9UI30	TRMT112
Q9UI26	IPO11
Q9UI12	ATP6V1H
Q9UI10	EIF2B4
Q9UHY7	ENOPH1
Q9UHY1	NRBP1
Q9UHX1	PUF60
Q9UHW5	GPN3
Q9UHV9	PFDN2
Q9UHR5	SAP30BP
Q9UHR4	BAIAP2L1
Q9UHJ6	SHPK
Q9UHI8	ADAMTS1
Q9UHI6	DDX20
Q9UHD9	UBQLN2
Q9UHD8	SEPTIN9
Q9UHD1	CHORDC1
Q9UHB9	SRP68
Q9UHB7	AFF4
Q9UHB6	LIMA1
Q9UHA4	LAMTOR3
Q9UHA3	RSL24D1
Q9UH65	SWAP70
Q9UH03	SEPTIN3
Q9UGV2	NDRG3
Q9UGR2	ZC3H7B
Q9UGP4	LIMD1
Q9UGI8	TES
Q9UGC7	MTRF1L
Q9UG63	ABCF2
Q9UFN0	NIPSNAP3A
Q9UFG5	C19orf25
Q9UFC0	LRWD1
Q9UEY8	ADD3
Q9UEW8	STK39
Q9UER7	DAXX
Q9UEE9	CFDP1
Q9UDY4	DNAJB4
Q9UDY2	TJP2
Q9UDX4	SEC14L3
Q9UDT6	CLIP2
Q9UDR5	AASS
Q9UBW8	COPS7A
Q9UBV8	PEF1
Q9UBU9	NXF1
Q9UBU8	MORF4L1
Q9UBT7	CTNNAL1
Q9UBT2	UBA2
Q9UBS4	DNAJB11
Q9UBQ7	GRHPR
Q9UBQ5	EIF3K
Q9UBQ0	VPS29
Q9UBP6	METTL1
Q9UBP0	SPAST
Q9UBN7	HDAC6
Q9UBL3	ASH2L
Q9UBI1	COMMD3
Q9UBF8	PI4KB
Q9UBF2	COPG2
Q9UBE0	SAE1
Q9UBD5	ORC3
Q9UBC2	EPS15L1
Q9UBB9	TFIP11
Q9UBB6	NCDN
Q9UBB4	ATXN10
Q9P2X3	IMPACT
Q9P2W1	PSMC3IP
Q9P2T1	GMPR2
Q9P2S5	WRAP73
Q9P2S2	NRXN2
Q9P2R7	SUCLA2
Q9P2R3	ANKFY1
Q9P2N5	RBM27
Q9P2M7	CGN
Q9P2L0	WDR35
Q9P2K5	MYEF2
Q9P2J5	LARS
Q9P2J3	KLHL9
Q9P2I0	CPSF2
Q9P2F5	STOX2
Q9P2E9	RRBP1
Q9P2E3	ZNFX1
Q9P2D7	DNAH1
Q9P2D3	HEATR5B
Q9P2D1	CHD7
Q9P2B4	CTTNBP2NL
Q9P289	STK26
Q9P287	BCCIP
Q9P273	TENM3
Q9P265	DIP2B
Q9P260	RELCH
Q9P258	RCC2
Q9P246	STIM2
Q9P215	POGK
Q9P209	CEP72
Q9P1U1	ACTR3B
Q9P1F3	ABRACL
Q9P109	GCNT4
Q9P0W2	HMG20B
Q9P0V9	SEPTIN10
Q9P0R6	GSKIP
Q9P0P0	RNF181
Q9P0M2	AKAP7
Q9P0L0	VAPA
Q9P0J7	KCMF1
Q9P086	MED11
Q9P021	CRIPT
Q9P016	THYN1
Q9P015	MRPL15
Q9P013	CWC15
Q9P000	COMMD9
Q9NZZ3	CHMP5
Q9NZW5	MPP6
Q9NZT2	OGFR
Q9NZQ3	NCKIPSD
Q9NZN8	CNOT2
Q9NZN3	EHD3
Q9NZM5	NOP53
Q9NZM4	BICRA
Q9NZL9	MAT2B
Q9NZL4	HSPBP1
Q9NZJ9	NUDT4
Q9NZJ6	COQ3
Q9NZI8	IGF2BP1
Q9NZE8	MRPL35
Q9NZD8	SPG21
Q9NZB2	FAM120A
Q9NZA1	CLIC5
Q9NZ63	C9orf78
Q9NZ53	PODXL2
Q9NZ52	GGA3
Q9NZ32	ACTR10
Q9NZ09	UBAP1
Q9NYV4	CDK12
Q9NYU2	UGGT1
Q9NYU1	UGGT2
Q9NYR9	NKIRAS2
Q9NYQ6	CELSR1
Q9NYP9	MIS18A
Q9NYL9	TMOD3
Q9NYK5	MRPL39
Q9NYJ1	COA4
Q9NYF8	BCLAF1
Q9NYB9	ABI2
Q9NYB0	TERF2IP
Q9NY65	TUBA8
Q9NY33	DPP3
Q9NY27	PPP4R2
Q9NY12	GAR1
Q9NXX6	NSMCE4A
Q9NXW9	ALKBH4
Q9NXV2	KCTD5
Q9NXR7	BABAM2
Q9NXR1	NDE1
Q9NXJ5	PGPEP1
Q9NXH9	TRMT1
Q9NXG2	THUMPD1
Q9NXF1	TEX10
Q9NX74	DUS2
Q9NX58	LYAR
Q9NX55	HYPK
Q9NX46	ADPRHL2
Q9NX24	NHP2
Q9NX08	COMMD8
Q9NX01	TXNL4B
Q9NWZ8	GEMIN8
Q9NWY4	HPF1
Q9NWX5	ASB6
Q9NWV8	BABAM1
Q9NWV4	CZIB
Q9NWU2	GID8
Q9NWU1	OXSM
Q9NWT6	HIF1AN
Q9NWS0	PIH1D1
Q9NWQ4	GPATCH2L
Q9NWM8	FKBP14
Q9NWL6	ASNSD1
Q9NWH9	SLTM
Q9NWA0	MED9
Q9NW82	WDR70
Q9NW68	BSDC1
Q9NW64	RBM22
Q9NW13	RBM28
Q9NW08	POLR3B
Q9NVZ3	NECAP2
Q9NVX2	NLE1
Q9NVX0	HAUS2
Q9NVU7	SDAD1
Q9NVU0	POLR3E
Q9NVT9	ARMC1
Q9NVS9	PNPO
Q9NVQ4	FAIM
Q9NVP2	ASF1B
Q9NVP1	DDX18
Q9NVN8	GNL3L
Q9NVN3	RIC8B
Q9NVM9	INTS13
Q9NVM6	DNAJC17
Q9NVJ2	ARL8B
Q9NVI1	FANCI
Q9NVH6	TMLHE
Q9NVH2	INTS7
Q9NVH0	EXD2
Q9NVG8	TBC1D13
Q9NVF7	FBXO28
Q9NVE7	PANK4
Q9NVD7	PARVA
Q9NVD3	SETD4
Q9NVC6	MED17
Q9NVA2	SEPTIN11
Q9NV88	INTS9
Q9NV72	ZNF701
Q9NV70	EXOC1
Q9NV56	MRGBP
Q9NV35	NUDT15
Q9NV06	DCAF13
Q9NUY8	TBC1D23
Q9NUW8	TDP1
Q9NUU7	DDX19A
Q9NUQ9	FAM49B
Q9NUQ8	ABCF3
Q9NUQ3	TXLNG
Q9NUP9	LIN7C
Q9NUP1	BLOC1S4
Q9NUJ3	TCP11L1
Q9NUJ1	ABHD10
Q9NUG6	PDRG1
Q9NUD5	ZCCHC3
Q9NU39	FOXD4L1
Q9NU22	MDN1
Q9NU19	TBC1D22B
Q9NTZ6	RBM12
Q9NTX5	ECHDC1
Q9NTM9	CUTC
Q9NTK5	OLA1
Q9NTJ3	SMC4
Q9NT62	ATG3
Q9NSV4	DIAPH3
Q9NSU2	TREX1
Q9NSK0	KLC4
Q9NSE4	IARS2
Q9NSD9	FARSB
Q9NS86	LANCL2
Q9NS84	CHST7
Q9NS69	TOMM22
Q9NS66	GPR173
Q9NS23	RASSF1
Q9NS18	GLRX2
Q9NRZ9	HELLS
Q9NRY5	FAM114A2
Q9NRY4	ARHGAP35
Q9NRY2	INIP
Q9NRX4	PHPT1
Q9NRX1	PNO1
Q9NRW3	APOBEC3C
Q9NRW1	RAB6B
Q9NRV9	HEBP1
Q9NRR5	UBQLN4
Q9NRP4	SDHAF3
Q9NRN7	AASDHPPT
Q9NRL3	STRN4
Q9NRH3	TUBG2
Q9NRG7	SDR39U1
Q9NRG1	PRTFDC1
Q9NRG0	CHRAC1
Q9NRF9	POLE3
Q9NRF8	CTPS2
Q9NRA8	EIF4ENIF1
Q9NR99	MXRA5
Q9NR56	MBNL1
Q9NR50	EIF2B3
Q9NR46	SH3GLB2
Q9NR45	NANS
Q9NR33	POLE4
Q9NR31	SAR1A
Q9NR30	DDX21
Q9NR28	DIABLO
Q9NR09	BIRC6
Q9NQZ5	STARD7
Q9NQZ2	UTP3
Q9NQX7	ITM2C
