From	To
A0A075B759	PPIAL4E
A0A087WTJ2	GIMAP1-GIMAP5
A0A087WUL8	NBPF19
A0A087WV96	CYP3A7
A0A087WZG4	ARHGEF18
A0A087X0R7	SENP3-EIF4A1
A0A087X1C1	TMSB15B
A0A096LP49	CCDC187
A0A096LP55	UQCRHL
A0A0A6YYC7	ZFP91-CNTF
A0A0A6YYF3	GPR75-ASB3
A0A0A6YYG9	ARPC4-TTLL3
A0A0A6YYH1	C15orf38-AP3S2
A0A0A6YYL0	TGIF2-C20orf24
A0A0A6YYL1	ST20-MTHFS
A0A0A6YYL6	RPL17-C18orf32
A0A0B4J1R7	BORCS7-ASMT
A0A0B4J1V8	PPAN-P2RY11
A0A0B4J279	TRAV21
A0A0B4J2A2	PPIAL4C
A0A0B4J2E5	LOC102724159
A0A0B4J2F2	SIK1B
A0A0C4DH35	IGHV3-35
A0A0C4DH73	IGKV1-12
A0A0G2JKD1	MUC21
A0A0G2JPF8	HNRNPCL4
A0A0J9YX44	TRBV5-5
A0A0J9YX86	GOLGA8Q
A0A0M3HER8	GOLGA6L10
A0A0U1RQJ8	ATRIP
A0A0U1RQV1	ERVK3-1
A0A0U1RRE5	NBDY
A0A0U1RRK4	LBHD2
A0A140T8X8	MUC21
A0A1B0GTI1	CCDC201
A0A1B0GUL6	BTBD8
A0A1B0GVZ6	MBD3L2B
A0A1B0GWB2	PRRT1B
A0A1B0GWG4	SERTM2
A0A1C7CYW4	ATP6AP2
A0A1W2PP11	PARL
A0A1W2PPC1	PRR33
A0A1W2PQ72	HSPA14
A0A1W2PQS6	RPS10-NUDT3
A0A1W2PR48	TLE7
A0AUZ9	KANSL1L
A0AV02	SLC12A8
A0AV96	RBM47
A0AVI2	FER1L5
A0AVK6	E2F8
A0AVT1	UBA6
A0FGR8	ESYT2
A0FGR9	ESYT3
A0JLT2	MED19
A0JNW5	UHRF1BP1L
A0MZ66	SHTN1
A0PJW8	DAPL1
A0PJX4	SHISA3
A0PK00	TMEM120B
A1A4G5	LNP1
A1A4S6	ARHGAP10
A1A5D9	BICDL2
A1IGU5	ARHGEF37
A1KXE4	FAM168B
A1L020	MEX3A
A1L0T0	ILVBL
A1L162	ERICH2
A1L170	C1orf226
A1L390	PLEKHG3
A1L429	GAGE12B
A1L429	GAGE12C
A1L429	GAGE12D
A1L429	GAGE12E
A1L4H1	SSC5D
A1L4K1	FSD2
A1X283	SH3PXD2B
A1XBS5	FAM92A
A1YPR0	ZBTB7C
A2A288	ZC3H12D
A2A2V5	SERTM1
A2A2Y4	FRMD3
A2A3K4	PTPDC1
A2A3N6	PIPSL
A2AJT9	BCLAF3
A2RRD8	ZNF320
A2RRP1	NBAS
A2RTX5	TARSL2
A2RU30	TESPA1
A2RU54	HMX2
A2RU67	FAM234B
A2RUB1	MEIOC
A2RUB6	CCDC66
A2RUS2	DENND3
A2VDJ0	TMEM131L
A3KMH1	VWA8
A3KN83	SBNO1
A4D161	FAM221A
A4D1E1	ZNF804B
A4D1P6	WDR91
A4D1S0	KLRG2
A4D2B0	MBLAC1
A4D2H0	CTAGE15
A4D2P6	GRID2IP
A4FU01	MTMR11
A4FU28	CTAGE9
A4FU49	SH3D21
A4QPH2	PI4KAP2
A4UGR9	XIRP2
A5A3E0	POTEF
A5D6W6	FITM1
A5PKW4	PSD
A5PL33	KRBA1
A5PLL1	ANKRD34B
A5PLN7	FAM149A
A5YKK6	CNOT1
A5YM69	ARHGEF35
A6H8M9	CDHR4
A6H8Y1	BDP1
A6NC98	CCDC88B
A6NCI8	C2orf78
A6NCL7	ANKRD33B
A6NCQ9	RNF222
A6NCS6	C2orf72
A6ND36	FAM83G
A6NDB9	PALM3
A6NDE4	RBMY1B
A6NDE8	GAGE12H
A6NDG6	PGP
A6NDU8	C5orf51
A6NE02	BTBD17
A6NE82	MBD3L3
A6NEC2	NPEPPSL1
A6NED2	RCCD1
A6NEF3	GOLGA6L4
A6NEL2	SOWAHB
A6NEM1	GOLGA6L9
A6NEQ0	RBMY1E
A6NES4	MROH2A
A6NF01	POM121B
A6NFI3	ZNF316
A6NFX1	MFSD2B
A6NGB9	WIPF3
A6NGC4	TLCD2
A6NGS2	ERICH4
A6NHG4	DDTL
A6NHL2	TUBAL3
A6NHQ4	EPOP
A6NHR9	SMCHD1
A6NHS7	MANSC4
A6NHT5	HMX3
A6NI28	ARHGAP42
A6NI72	NCF1B
A6NI79	CCDC69
A6NI86	GOLGA6L10
A6NIH7	UNC119B
A6NIX2	WTIP
A6NJ46	NKX6-3
A6NJ78	METTL15
A6NJG2	SOWAHD
A6NJL1	ZSCAN5B
A6NJT0	UNCX
A6NJU9	NPIPB13
A6NJZ7	RIMBP3C
A6NKD9	CCDC85C
A6NKF1	SAC3D1
A6NKG5	RTL1
A6NKN8	PCP4L1
A6NKT7	RGPD3
A6NKU9	SPDYE3
A6NLC5	C3orf70
A6NM28	ZFP92
A6NMD2	GOLGA8J
A6NMK8	INSYN2B
A6NMY6	ANXA2P2
A6NMZ7	COL6A6
A6NNA2	SRRM3
A6NNM3	RIMBP3B
A6NNZ2	TUBB8B
A6QL63	BTBD11
A6QL64	ANKRD36
A7E2V4	ZSWIM8
A7E2Y1	MYH7B
A7KAX9	ARHGAP32
A7MBM2	DISP2
A7MCY6	TBKBP1
A7MD48	SRRM4
A7XYQ1	SOBP
A8CG34	POM121C
A8K0R7	ZNF839
A8K0Z3	WASHC1
A8K5M9	C15orf62
A8K855	EFCAB7
A8K979	ERI2
A8KAH6	HSPB2-C11orf52
A8MPP1	DDX11L8
A8MQ03	CYSRT1
A8MQ27	NEURL1B
A8MRT5	NPIPB5
A8MSY1	STIMATE-MUSTN1
A8MT19	RHPN2P1
A8MTJ3	GNAT3
A8MTJ6	FOXI3
A8MTQ0	NOTO
A8MU46	SMTNL1
A8MU93	C17orf100
A8MUH7	PDZK1P1
A8MVS5	HIDE1
A8MVU1	NCF1C
A8MVW0	FAM171A2
A8MVX0	ARHGEF33
A8MW92	PHF20L1
A8MWX3	WASH4P
A8MXV4	NUDT19
A8MYA2	CXorf49
